Feature_set,N_features,Precision,Recall,F1,F1_CI_low,F1_CI_high,ROC_AUC,FPR
all features (incl. lab-only),16,0.9724517906336089,0.8825,0.9252948885976409,0.9074309478970496,0.9425922461371,0.9409661016949153,0.00423728813559322
network-observable only,15,0.9447513812154696,0.855,0.8976377952755905,0.8755356188703312,0.9194224849781392,0.9404237288135595,0.00847457627118644
